risk_level,rule_lower_bound,rule_upper_bound,rows,portfolio_share,probability_min,probability_max,average_predicted_probability,actual_claim_rate,recommendation
Low,-inf,0.3683173849396505,12450,0.24997992129146254,0.18840491858035302,0.36831449170465314,0.3155000202497592,0.015100401606425702,Standard approval
Medium,0.3683173849396505,0.5865424954310536,32373,0.650008031483415,0.3683173849396505,0.5865424855046295,0.49231318126149837,0.06928613350631699,Additional underwriting review
High,0.5865424954310536,inf,4981,0.10001204722512248,0.5865424996852354,0.6864907770932203,0.6138942907880681,0.15157598875727765,Manual underwriting review
