comparison,delta_roc_auc,ci_95,two_sided_bootstrap_p,bootstrap_iterations
Logistic Regression vs Neural Network B,0.01599533174088963,"[0.009079667041318837, 0.022996941010350082]",0.0003999200159968006,5000
Logistic Regression vs Random Forest,0.0558827699791673,"[0.04075675624916053, 0.07218095077524424]",0.0003999200159968006,5000
