method,brier_score,roc_auc,log_loss
uncalibrated,0.12202648634302114,0.8875563990416253,0.3856457069949941
sigmoid,0.12202763613223833,0.8875491276099895,0.38563294091473377
isotonic,0.12261109875830971,0.8872346381917404,0.3853799897201849
