total_cases,automated_cases,manual_review_cases,automation_rate,manual_review_rate,threshold,tn,fp,fn,tp,baseline_manual_cost,ai_assisted_labor_cost,annual_labor_savings,annual_fp_cost,annual_fn_cost,annual_tp_operational_cost,total_error_cost,annual_maintenance_cost,recurring_operating_cost,annual_net_benefit,implementation_cost,year1_roi_pct,recurring_operating_roi_pct,payback_months,manual_hours_before,manual_hours_after,review_hours_saved
12000.0,3624.765478424015,8375.234521575985,0.3020637898686679,0.6979362101313321,0.05,3527.204502814259,4712.945590994372,97.5609756097561,3662.288930581614,180000.0,75377.11069418387,104622.88930581613,23564.72795497186,14634.146341463415,18311.44465290807,56510.318949343346,18000.0,149887.4296435272,30112.570356472803,60000.0,-49.812382739212,20.090123920390543,23.91028037383177,4000.0,1675.046904315197,2324.953095684803
12000.0,4195.121951219512,7804.878048780487,0.34959349593495936,0.6504065040650406,0.1,4075.046904315197,4165.103189493433,120.0750469043152,3639.7748592870544,180000.0,70243.90243902439,109756.09756097561,20825.515947467167,18011.25703564728,18198.87429643527,57035.64727954972,18000.0,145279.5497185741,34720.4502814259,60000.0,-42.132582864290164,23.8990624273575,20.737058251377924,4000.0,1560.9756097560974,2439.0243902439024
12000.0,4660.412757973734,7339.587242026267,0.38836772983114454,0.6116322701688556,0.15,4525.328330206379,3714.8217636022514,135.0844277673546,3624.7654784240153,180000.0,66056.2851782364,113943.7148217636,18574.108818011257,20262.664165103193,18123.827392120078,56960.60037523453,18000.0,141016.88555347093,38983.11444652907,60000.0,-35.02814258911822,27.644288337191657,18.46953508518626,4000.0,1467.9174484052533,2532.0825515947467
12000.000000000002,5951.219512195123,6048.780487804878,0.4959349593495935,0.5040650406504065,0.2,5613.508442776736,2626.641651031895,337.7110694183865,3422.1388367729833,180000.0,54439.0243902439,125560.9756097561,13133.208255159476,50656.66041275798,17110.694183864915,80900.56285178236,18000.0,153339.58724202626,26660.41275797374,60000.0,-55.565978736710434,17.38651657897957,27.006333567909916,4000.0,1209.7560975609756,2790.243902439024
12000.0,6941.838649155723,5058.161350844278,0.5784865540963102,0.42151344590368983,0.25,6386.491557223265,1853.658536585366,555.3470919324578,3204.5028142589117,180000.0,45523.4521575985,134476.5478424015,9268.292682926829,83302.06378986867,16022.514071294558,108592.87054409005,18000.0,172116.32270168856,7883.677298311435,60000.0,-86.86053783614761,4.580435588305821,91.32793907663029,4000.0,1011.6322701688555,2988.3677298311445
12000.000000000002,7294.559099437149,4705.440900562851,0.6078799249530956,0.3921200750469042,0.3,6679.174484052533,1560.9756097560976,615.3846153846154,3144.465290806754,180000.0,42348.968105065665,137651.03189493433,7804.878048780488,92307.6923076923,15722.326454033771,115834.89681050656,18000.0,176183.86491557222,3816.1350844277767,60000.0,-93.63977485928704,2.165995783017065,188.67256637168097,4000.0,941.0881801125703,3058.91181988743
12000.000000000002,7354.596622889307,4645.403377110694,0.6128830519074421,0.3871169480925578,0.35,6716.697936210132,1523.452157598499,637.8986866791745,3121.951219512195,180000.0,41808.630393996245,138191.36960600375,7617.260787992495,95684.80300187618,15609.756097560976,118911.81988742965,18000.0,178720.4502814259,1279.549718574097,60000.0,-97.86741713570983,0.7159503663734212,562.6979472140815,4000.0,929.0806754221388,3070.919324577861
12000.0,7392.120075046904,4607.879924953096,0.6160100062539087,0.38398999374609133,0.4,6731.707317073171,1508.4427767354598,660.4127579737336,3099.437148217636,180000.0,41470.91932457786,138529.08067542216,7542.213883677299,99061.91369606004,15497.18574108818,122101.31332082552,18000.0,181572.23264540336,-1572.232645403361,60000.0,-102.62038774233892,-0.8658992746285226,,4000.0,921.5759849906191,3078.424015009381
12000.000000000004,7474.671669793622,4525.328330206379,0.622889305816135,0.37711069418386484,0.45,6754.2213883677305,1485.9287054409006,720.4502814258913,3039.3996247654786,180000.0,40727.95497185741,139272.04502814257,7429.643527204503,108067.54221388369,15196.998123827394,130694.18386491558,18000.0,189422.138836773,-9422.138836772996,60000.0,-115.703564727955,-4.974148689605997,,4000.0,905.0656660412758,3094.934333958724
12000.0,7744.840525328331,4255.15947467167,0.6454033771106943,0.3545966228893058,0.5,6874.2964352720455,1365.8536585365855,870.5440900562852,2889.3058161350846,180000.0,38296.43527204503,141703.56472795497,6829.2682926829275,130581.61350844278,14446.529080675424,151857.41088180113,18000.0,208153.84615384616,-28153.846153846156,60000.0,-146.92307692307693,-13.52549889135255,,4000.0,851.0318949343341,3148.968105065666
