CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
חבצלת השרון,מרכז,235,26,0,1,36,38,0.15,99.75
מזור,מרכז,606,26,1,1,35,40,0.15,99.75
עין איילה,חיפה,687,20,1,3,30,39,0.15,58.44
אורות,דרום,2012,26,0,0,39,39,0.15,63.41
ראס עלי,חיפה,990,18,0,1,37,39,0.15,58.44
גן השומרון,חיפה,225,20,1,0,33,36,0.14,58.44
עין גדי,דרום,2042,18,0,4,29,37,0.14,63.41
דפנה,צפון,302,18,0,3,30,36,0.14,100.0
כפר עבודה,צפון,1104,21,0,1,34,36,0.14,100.0
רווחה,דרום,2051,22,0,2,33,37,0.14,63.41
אביחיל,מרכז,175,22,0,0,37,37,0.14,99.75
אבו תלול,דרום,1375,21,2,5,21,37,0.14,63.41
כפר בלום,צפון,357,13,0,1,35,37,0.14,100.0
בית שקמה,דרום,747,25,0,2,32,36,0.14,63.41
דמיידה,צפון,1317,18,0,0,37,37,0.14,100.0
חנתון,צפון,1257,17,0,1,35,37,0.14,100.0
חזון,צפון,1047,21,0,0,37,37,0.14,100.0
דברת,צפון,407,23,0,1,32,34,0.13,100.0
ישע,דרום,916,18,1,4,23,34,0.13,63.41
כפר אביב,מרכז,857,24,1,0,31,34,0.13,99.75
משען,דרום,791,18,0,6,23,35,0.13,63.41
בית לחם הגלילית,צפון,430,18,2,0,28,34,0.13,100.0
נווה ים,חיפה,312,15,2,4,20,34,0.13,58.44
אמציה,דרום,23,13,1,7,18,35,0.13,63.41
גבע כרמל,חיפה,683,20,0,1,31,33,0.13,58.44
כפר המכבי,חיפה,254,23,0,0,33,33,0.13,58.44
דליה,צפון,300,18,0,1,32,34,0.13,100.0
יד בנימין,מרכז,577,23,0,1,31,33,0.13,99.75
ברעם,צפון,667,20,0,3,28,34,0.13,100.0
ספסופה,צפון,609,21,0,1,32,34,0.13,100.0
דן,צפון,303,15,1,2,28,35,0.13,100.0
אל סייד,דרום,1359,19,0,4,26,34,0.13,63.41
גדיש,צפון,145,19,0,0,33,33,0.13,100.0
שדות ים,חיפה,327,22,1,1,30,35,0.13,58.44
בית יצחק- שער חפר,מרכז,326,25,0,1,32,34,0.13,99.75
ללא שיפוט - אזור מעיליא,צפון,9901,22,0,0,34,34,0.13,100.0
ללא שיפוט - אזור מושב אומץ,מרכז,9958,20,2,1,23,31,0.12,99.75
צור נתן,מרכז,1148,19,0,0,30,30,0.12,99.75
חרות,מרכז,162,17,0,2,26,30,0.12,99.75
כמאנה,צפון,1331,17,0,1,29,31,0.12,100.0
בן עמי,צפון,712,24,0,0,32,32,0.12,100.0
עלמה,צפון,688,18,0,1,28,30,0.12,100.0
מייסר,חיפה,649,21,0,0,32,32,0.12,58.44
גן חיים,מרכז,239,23,0,1,29,31,0.12,99.75
