CITY,REGION,CITYCODE,SUMACCIDEN,DEAD,SEVER_INJ,SLIGH_INJ,SEVERITY_WEIGHTED,CITY_RISK_SCORE,REGION_RISK_SCORE
גילת,דרום,736,8,0,1,7,9,0.03,63.41
שלוחות,צפון,439,7,0,1,6,8,0.03,100.0
בית רבן,מרכז,848,5,0,1,6,8,0.03,99.75
משמרות,חיפה,213,7,0,1,7,9,0.03,58.44
כפר הרואה,מרכז,217,8,0,0,9,9,0.03,99.75
הדר עם,מרכז,191,8,0,0,9,9,0.03,99.75
מתן,מרכז,1315,6,0,0,7,7,0.03,99.75
יד חנה,מרכז,758,7,0,0,7,7,0.03,99.75
מסלול,דרום,748,4,1,1,4,9,0.03,63.41
חצור-אשדוד,דרום,406,6,0,0,7,7,0.03,63.41
כסלון,ירושלים,859,7,0,1,7,9,0.03,35.33
נאות גולן,צפון,4551,4,0,1,7,9,0.03,100.0
רמת מגשימים,צפון,4701,6,0,1,6,8,0.03,100.0
בית הלוי,מרכז,373,6,0,1,5,7,0.03,99.75
חוקוק,צפון,374,5,0,0,7,7,0.03,100.0
כפר חרוב,צפון,4004,5,0,0,9,9,0.03,100.0
זרעית,צפון,1130,3,0,0,7,7,0.03,100.0
אלומה,דרום,1145,6,0,0,7,7,0.03,63.41
נס עמים,צפון,1143,6,0,0,9,9,0.03,100.0
אשדות יעקב (מאוחד),צפון,188,5,0,0,9,9,0.03,100.0
חווא'לד,חיפה,1321,6,0,0,9,9,0.03,58.44
נווה אילן,ירושלים,405,8,0,0,9,9,0.03,35.33
מפלסים,דרום,668,5,0,0,9,9,0.03,63.41
רמת יוחנן,חיפה,178,7,0,0,8,8,0.03,58.44
סער,צפון,454,5,0,0,7,7,0.03,100.0
גבעת חיים איחוד,מרכז,2018,6,0,2,4,8,0.03,99.75
רוויה,צפון,2016,8,0,0,9,9,0.03,100.0
עוזה,דרום,826,7,0,0,8,8,0.03,63.41
שוקדה,דרום,415,2,0,0,7,7,0.03,63.41
צבעון,צפון,1213,4,0,0,5,5,0.02,100.0
גיתה,צפון,1206,2,0,0,6,6,0.02,100.0
גשר,צפון,305,2,0,0,6,6,0.02,100.0
אלומות,צפון,330,4,0,0,5,5,0.02,100.0
עמיר,צפון,319,2,0,0,4,4,0.02,100.0
תלמים,דרום,814,2,0,1,2,4,0.02,63.41
כמון,צפון,1201,2,0,0,6,6,0.02,100.0
עין חצבה,דרום,1053,2,0,0,6,6,0.02,63.41
שדה ניצן,דרום,1058,3,0,1,2,4,0.02,63.41
נוה זוהר,דרום,1057,5,0,0,5,5,0.02,63.41
חרוצים,מרכז,1024,4,0,0,4,4,0.02,99.75
ללא שיפוט - אזור מצפון לקציר,חיפה,9946,3,0,0,6,6,0.02,58.44
מטע,ירושלים,822,4,0,1,3,5,0.02,35.33
מעלה החמישה,ירושלים,286,4,0,0,4,4,0.02,35.33
נווה איתן,צפון,296,3,0,0,4,4,0.02,100.0
בר יוחאי,צפון,1191,3,0,0,5,5,0.02,100.0
מנות,צפון,1205,4,0,0,4,4,0.02,100.0
כוכב מיכאל,דרום,824,3,0,0,6,6,0.02,63.41
חמדיה,צפון,343,4,0,0,4,4,0.02,100.0
כפר רות,מרכז,1166,3,0,0,5,5,0.02,99.75
מתת,צפון,1184,3,0,0,5,5,0.02,100.0
קורנית,צפון,1179,1,0,0,4,4,0.02,100.0
מנרה,צפון,347,3,0,0,4,4,0.02,100.0
יתד,דרום,1227,2,0,1,2,4,0.02,63.41
מסדה,צפון,263,4,0,0,5,5,0.02,100.0
כפר סולד,צפון,345,4,0,1,4,6,0.02,100.0
צורית,צפון,1221,3,0,0,4,4,0.02,100.0
צלפון,ירושלים,796,5,0,1,4,6,0.02,35.33
גורנות הגליל,צפון,1219,4,0,1,3,5,0.02,100.0
אבירים,צפון,1220,2,0,0,5,5,0.02,100.0
שובה,דרום,761,4,0,0,4,4,0.02,63.41
נופית,חיפה,1284,4,0,0,5,5,0.02,58.44
שואבה,ירושלים,741,4,0,0,4,4,0.02,35.33
תלמי יפה,דרום,744,5,0,0,5,5,0.02,63.41
גברעם,דרום,342,3,0,1,3,5,0.02,63.41
כפר אוריה,ירושלים,364,4,0,0,4,4,0.02,35.33
גבעת יערים,ירושלים,787,3,0,0,4,4,0.02,35.33
אבן ספיר,ירושלים,783,4,0,0,4,4,0.02,35.33
נטף,ירושלים,1254,3,0,0,4,4,0.02,35.33
נחשון,ירושלים,777,4,0,0,5,5,0.02,35.33
מחסיה,ירושלים,776,4,0,0,4,4,0.02,35.33
יד נתן,דרום,775,3,0,1,3,5,0.02,63.41
הרדוף,צפון,1249,3,0,0,4,4,0.02,100.0
גשור,צפון,4022,5,0,0,5,5,0.02,100.0
אור הגנוז,צפון,1294,4,0,1,4,6,0.02,100.0
תמרת,צפון,1244,5,0,0,6,6,0.02,100.0
מבטחים,דרום,829,5,0,0,5,5,0.02,63.41
אשלים,דרום,1152,4,0,1,3,5,0.02,63.41
אחווה,דרום,1157,3,0,0,6,6,0.02,63.41
עין הנציב,צפון,383,3,0,0,4,4,0.02,100.0
יסודות,מרכז,440,5,0,1,4,6,0.02,99.75
אדרת,ירושלים,1123,6,0,0,6,6,0.02,35.33
כפר פינס,חיפה,189,3,0,1,2,4,0.02,58.44
עלומים,דרום,1146,3,0,0,4,4,0.02,63.41
בטחה,דרום,762,4,0,0,4,4,0.02,63.41
רמת רזיאל,ירושלים,460,3,0,0,4,4,0.02,35.33
רמות מאיר,מרכז,735,5,0,0,6,6,0.02,99.75
צובה,ירושלים,465,3,0,0,4,4,0.02,35.33
תלמי יחיאל,דרום,727,3,0,1,3,5,0.02,63.41
שדה אילן,צפון,721,5,0,0,6,6,0.02,100.0
ערב אל נעים,צפון,1335,3,0,0,4,4,0.02,100.0
בית מאיר,ירושלים,751,2,0,1,2,4,0.02,35.33
בני דקלים,דרום,1368,4,0,0,4,4,0.02,63.41
כחלה,דרום,1367,1,0,0,4,4,0.02,63.41
נווה,דרום,1366,2,0,0,5,5,0.02,63.41
דריג'את,דרום,1349,3,0,0,4,4,0.02,63.41
כפר-יעבץ,מרכז,170,3,0,0,4,4,0.02,99.75
כרם שלום,דרום,1085,4,0,0,4,4,0.02,63.41
אומן,צפון,1108,6,0,0,6,6,0.02,100.0
חבר,צפון,1110,4,0,0,6,6,0.02,100.0
הראל,ירושלים,464,3,0,0,5,5,0.02,35.33
תלמי אליעזר,חיפה,2003,4,0,0,4,4,0.02,58.44
גני טל,מרכז,1371,4,0,0,4,4,0.02,99.75
גזית,צפון,457,4,0,0,6,6,0.02,100.0
נטעים,מרכז,174,4,0,0,4,4,0.02,99.75
בית זרע,צפון,143,4,0,0,4,4,0.02,100.0
אדירים,צפון,113,2,1,0,3,6,0.02,100.0
רם און,צפון,1069,2,0,0,4,4,0.02,100.0
קרית ענבים,ירושלים,78,4,0,0,4,4,0.02,35.33
אילת השחר,צפון,77,3,0,0,5,5,0.02,100.0
תירוש,ירושלים,10,2,0,0,4,4,0.02,35.33
חצבה,דרום,13,5,0,0,6,6,0.02,63.41
באר אורה,דרום,21,2,0,0,2,2,0.01,63.41
שדות מיכה,ירושלים,27,2,0,0,2,2,0.01,35.33
זרועה,דרום,2064,2,0,0,2,2,0.01,63.41
ניצן א' אתר זמני,דרום,1419,3,0,0,3,3,0.01,63.41
עין נקובא,ירושלים,521,3,0,0,3,3,0.01,35.33
נווה אור,צפון,590,1,0,0,2,2,0.01,100.0
עין צורים,דרום,622,2,0,0,3,3,0.01,63.41
נצר חזני,מרכז,1372,1,0,0,2,2,0.01,99.75
כרמי קטיף,דרום,1374,3,0,0,3,3,0.01,63.41
עשרת,מרכז,591,3,0,0,3,3,0.01,99.75
בניה,מרכז,685,2,0,0,2,2,0.01,99.75
עין חוד,חיפה,1320,1,0,1,1,3,0.01,58.44
ארסוף,מרכז,1324,3,0,0,3,3,0.01,99.75
משמרת,מרכז,425,2,0,0,2,2,0.01,99.75
סעד,דרום,419,2,0,1,1,3,0.01,63.41
כפר גלים,חיפה,427,2,0,0,2,2,0.01,58.44
אלוני הבשן,צפון,4017,2,0,0,3,3,0.01,100.0
ניר יצחק,דרום,402,3,0,0,3,3,0.01,63.41
נטע,דרום,1369,1,0,0,2,2,0.01,63.41
מרחב עם,דרום,1340,1,0,0,2,2,0.01,63.41
יפתח,צפון,453,2,0,0,3,3,0.01,100.0
מנוחה,דרום,2030,3,0,0,3,3,0.01,63.41
דחי,צפון,475,2,0,0,2,2,0.01,100.0
כפר הנשיא,צפון,443,2,0,0,2,2,0.01,100.0
קוממיות,דרום,766,3,0,0,3,3,0.01,63.41
אילות,דרום,1126,3,0,0,3,3,0.01,63.41
אלמגור,צפון,1125,2,0,0,2,2,0.01,100.0
יעף,מרכז,1044,2,0,0,2,2,0.01,99.75
ניר עוז,דרום,69,2,0,0,2,2,0.01,63.41
ניר חן,דרום,11,2,0,0,2,2,0.01,63.41
ללא שיפוט - אזור הר תבור,צפון,9930,2,0,0,2,2,0.01,100.0
גבעת ישעיהו,ירושלים,919,2,0,0,2,2,0.01,35.33
ללא שיפוט - אזור אגם דלתון,צפון,9904,2,0,0,2,2,0.01,100.0
שושנת העמקים,מרכז,224,1,0,1,0,2,0.01,99.75
גני עם,מרכז,218,2,0,0,2,2,0.01,99.75
כפר חיים,מרכז,193,2,0,0,2,2,0.01,99.75
כפר חסידים ב',חיפה,889,2,0,0,2,2,0.01,58.44
ירקונה,מרכז,183,2,0,0,2,2,0.01,99.75
גבעת חיים מאוחד,מרכז,173,2,0,0,2,2,0.01,99.75
מבועים,דרום,1080,3,0,0,3,3,0.01,63.41
גבעת שפירא,מרכז,1077,2,0,0,2,2,0.01,99.75
נווה מיכאל,ירושלים,1071,2,0,0,2,2,0.01,35.33
אביעזר,ירושלים,1070,2,0,0,3,3,0.01,35.33
כיסופים,דרום,840,1,0,0,2,2,0.01,63.41
בקוע,ירושלים,864,2,0,0,2,2,0.01,35.33
נאות הכיכר,דרום,1124,2,0,0,2,2,0.01,63.41
נירית,מרכז,1236,2,0,0,2,2,0.01,99.75
אחוזם,דרום,821,2,0,0,2,2,0.01,63.41
זנוח,ירושלים,816,3,0,0,3,3,0.01,35.33
עג'ור,ירושלים,794,3,0,0,3,3,0.01,35.33
הילה,צפון,1208,2,0,0,2,2,0.01,100.0
עזר,דרום,1149,3,0,0,3,3,0.01,63.41
מוצא עילית,ירושלים,208,3,0,0,3,3,0.01,35.33
נווה מבטח,דרום,827,2,0,0,2,2,0.01,63.41
נורית,צפון,833,1,0,0,2,2,0.01,100.0
מנוף,צפון,1174,2,0,0,2,2,0.01,100.0
טירת צבי,צפון,268,2,0,0,2,2,0.01,100.0
שדמות דבורה,צפון,306,3,0,0,3,3,0.01,100.0
מרגליות,צפון,843,1,0,1,0,2,0.01,100.0
יבול,דרום,1232,2,0,0,3,3,0.01,63.41
אמנון,צפון,1253,1,0,1,0,2,0.01,100.0
בית זיד,צפון,353,2,0,0,2,2,0.01,100.0
אשרת,צפון,1256,3,0,0,3,3,0.01,100.0
נחם,ירושלים,809,2,0,0,2,2,0.01,35.33
ישעי,ירושלים,805,2,0,0,3,3,0.01,35.33
גבולות,דרום,352,3,0,0,3,3,0.01,63.41
לבנים,צפון,1230,2,0,0,3,3,0.01,100.0
נווה שלום,ירושלים,1259,2,0,0,2,2,0.01,35.33
צוקים,דרום,1262,3,0,0,3,3,0.01,63.41
שחרות,דרום,1266,2,0,0,2,2,0.01,63.41
קדמה,דרום,392,1,0,0,3,3,0.01,63.41
אפיק,צפון,4301,2,0,0,2,2,0.01,100.0
כרכום,צפון,1285,2,0,0,2,2,0.01,100.0
תל תאומים,צפון,1283,2,0,0,2,2,0.01,100.0
מירב,צפון,1282,1,0,0,3,3,0.01,100.0
ורדון,דרום,1133,2,0,1,1,3,0.01,63.41
נווה חריף,דרום,1279,0,0,0,0,0,0.0,63.41
ניצני סיני,דרום,1280,1,0,0,1,1,0.0,63.41
כנף,צפון,4028,1,0,0,1,1,0.0,100.0
נטור,צפון,4014,0,0,0,0,0,0.0,100.0
בני יהודה,צפון,4015,0,0,0,0,0,0.0,100.0
מסילת ציון,ירושלים,742,1,0,0,1,1,0.0,35.33
העוגן,מרכז,423,1,0,0,1,1,0.0,99.75
אבשלום,דרום,1311,1,0,0,1,1,0.0,63.41
פטיש,דרום,749,1,0,0,1,1,0.0,63.41
אליאב,דרום,1365,0,0,0,0,0,0.0,63.41
שלומית,דרום,1364,0,0,0,0,0,0.0,63.41
גן יאשיה,מרכז,734,0,0,0,0,0,0.0,99.75
אל עזי,דרום,1339,0,0,0,0,0,0.0,63.41
אירוס,מרכז,1336,1,0,0,1,1,0.0,99.75
גדעונה,צפון,442,0,0,0,0,0,0.0,100.0
בת חן,מרכז,1361,1,0,0,1,1,0.0,99.75
בני נצרים,דרום,1363,1,0,0,1,1,0.0,63.41
באר מילכה,דרום,1278,1,0,0,1,1,0.0,63.41
תעוז,ירושלים,752,1,0,0,1,1,0.0,35.33
ללא שיפוט - אזור סאלם,חיפה,9956,0,0,0,0,0,0.0,58.44
יראון,צפון,623,1,0,0,1,1,0.0,100.0
ללא שיפוט - אזור מערבית לברטעה,חיפה,9947,0,0,0,0,0,0.0,58.44
ללא שיפוט - אזור מערבית לבאקה אל גרבייה,חיפה,9951,0,0,0,0,0,0.0,58.44
ללא שיפוט - אזור רמת הנדיב,חיפה,9939,0,0,0,0,0,0.0,58.44
תקומה,דרום,665,1,0,0,1,1,0.0,63.41
ירדנה,צפון,2026,0,0,0,0,0,0.0,100.0
מלילות,דרום,2044,0,0,0,0,0,0.0,63.41
עין ראפה,ירושלים,514,0,0,0,0,0,0.0,35.33
נתיב הלה,ירושלים,693,0,0,0,0,0,0.0,35.33
ניר ישראל,דרום,699,0,0,0,0,0,0.0,63.41
כפר בן נון,מרכז,2010,1,0,0,1,1,0.0,99.75
גפן,ירושלים,39,1,0,0,1,1,0.0,35.33
ללא שיפוט - אזור שמורת שער העמקים,חיפה,9937,1,0,0,1,1,0.0,58.44
ללא שיפוט - אזור נחל בענא,חיפה,9941,0,0,0,0,0,0.0,58.44
ללא שיפוט - אזור יער אלונה,חיפה,9940,0,0,0,0,0,0.0,58.44
ללא שיפוט - נחל יתלה,ירושלים,9975,0,0,0,0,0,0.0,35.33
שדה צבי,דרום,2049,0,0,0,0,0,0.0,63.41
תאשור,דרום,2062,0,0,0,0,0,0.0,63.41
עין השלושה,דרום,676,1,0,0,1,1,0.0,63.41
ניר משה,דרום,2047,0,0,0,0,0,0.0,63.41
ללא שיפוט - אזור יער חורשים,מרכז,9961,0,0,0,0,0,0.0,99.75
ללא שיפוט - אזור מדרום לראש העין,מרכז,9963,0,0,0,0,0,0.0,99.75
ללא שיפוט - אזור השפדן,מרכז,9965,0,0,0,0,0,0.0,99.75
ללא שיפוט - אזור חולות יבנה,מרכז,9968,0,0,0,0,0,0.0,99.75
ללא שיפוט - אזור מיתר,דרום,9972,1,0,0,1,1,0.0,63.41
ללא שיפוט - אזור מזרחית לכפר תראבין,דרום,9973,0,0,0,0,0,0.0,63.41
ללא שיפוט - אזור ערד,דרום,9974,0,0,0,0,0,0.0,63.41
ללא שיפוט - אזור תעש,מרכז,9960,0,0,0,0,0,0.0,99.75
ללא שיפוט - אזור מעבר אייל,מרכז,9959,0,0,0,0,0,0.0,99.75
בית נקופה,ירושלים,672,0,0,0,0,0,0.0,35.33
שדי אברהם,דרום,1223,0,0,0,0,0,0.0,63.41
פרי גן,דרום,1231,0,0,0,0,0,0.0,63.41
לוטן,דרום,1255,0,0,0,0,0,0.0,63.41
עמינדב,ירושלים,779,0,0,0,0,0,0.0,35.33
רמת צבי,צפון,339,1,0,0,1,1,0.0,100.0
עראמשה,צפון,1246,0,0,0,0,0,0.0,100.0
כפר מרדכי,מרכז,764,1,0,0,1,1,0.0,99.75
רביבים,דרום,354,1,0,0,1,1,0.0,63.41
דקל,דרום,1241,1,0,0,1,1,0.0,63.41
עין תמר,דרום,1251,0,0,0,0,0,0.0,63.41
חלוץ,צפון,1272,0,0,0,0,0,0.0,100.0
אשבל,צפון,1276,0,0,0,0,0,0.0,100.0
כמהין,דרום,1291,1,0,0,1,1,0.0,63.41
סמר,דרום,1156,0,0,0,0,0,0.0,63.41
שכניה,צפון,1160,0,0,0,0,0,0.0,100.0
חוגלה,מרכז,205,1,0,0,1,1,0.0,99.75
שטח כללי,דרום,5569,0,0,0,0,0,0.0,63.41
פלך,צפון,1185,0,0,0,0,0,0.0,100.0
מעוז חיים,צפון,272,1,0,0,1,1,0.0,100.0
חולתה,צפון,253,0,0,0,0,0,0.0,100.0
שטח כללי,דרום,5568,0,0,0,0,0,0.0,63.41
טללים,דרום,1177,0,0,0,0,0,0.0,63.41
חולית,דרום,1239,0,0,0,0,0,0.0,63.41
תלמי יוסף,דרום,1237,0,0,0,0,0,0.0,63.41
כפר רופין,צפון,295,1,0,0,1,1,0.0,100.0
שיזפון,דרום,1197,0,0,0,0,0,0.0,63.41
שטח כללי,מרכז,5532,1,0,0,1,1,0.0,99.75
מכמנים,צפון,1202,1,0,0,1,1,0.0,100.0
עדי,צפון,1199,0,0,0,0,0,0.0,100.0
סופה,דרום,1238,0,0,0,0,0,0.0,63.41
חרשים,צפון,1209,0,0,0,0,0,0.0,100.0
רתמים,דרום,1260,1,0,0,1,1,0.0,63.41
הר עמשא,דרום,1261,0,0,0,0,0,0.0,63.41
רנן,דרום,789,1,0,0,1,1,0.0,63.41
גבעת אלה,צפון,1288,1,0,0,1,1,0.0,100.0
צוקי ים,מרכז,1102,1,0,0,1,1,0.0,99.75
תושיה,דרום,1083,0,0,0,0,0,0.0,63.41
גאולי תימן,מרכז,872,0,0,0,0,0,0.0,99.75
יטבתה,דרום,866,1,0,0,1,1,0.0,63.41
מלאה,צפון,164,0,0,0,0,0,0.0,100.0
גיבתון,מרכז,196,0,0,0,0,0,0.0,99.75
צוחר,דרום,1136,0,0,0,0,0,0.0,63.41
יד השמונה,ירושלים,1134,1,0,0,1,1,0.0,35.33
גרופית,דרום,1129,0,0,0,0,0,0.0,63.41
דובב,צפון,1067,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מצפון למעלות,צפון,9902,0,0,0,0,0,0.0,100.0
מאיר שפיה,חיפה,102,1,0,0,1,1,0.0,58.44
ברק,צפון,141,1,0,0,1,1,0.0,100.0
כפר הנוער הדתי,חיפה,890,0,0,0,0,0,0.0,58.44
כפר הריף,דרום,888,0,0,0,0,0,0.0,63.41
צפרירים,ירושלים,1079,1,0,0,1,1,0.0,35.33
ללא שיפוט - אזור משמר הירדן,צפון,9906,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור הר סאסא,צפון,9905,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור נחל יצהר,צפון,9912,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור צומת ג'וליס,צפון,9913,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור ממערב לג'דיידה-מכר,צפון,9916,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מדרום לג'וליס,צפון,9915,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מצפון לירכא,צפון,9909,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור חלוץ,צפון,9910,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מערבית לכפר יאסיף,צפון,9911,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור בין חוסן לכפר ורדים,צפון,9907,1,0,0,1,1,0.0,100.0
ללא שיפוט - אזור הארבל,צפון,9926,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור נחל ארבל,צפון,9925,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור הכנרת,צפון,9920,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מערב כרמיאל,צפון,9919,0,0,0,0,0,0.0,100.0
אוהד,דרום,1046,0,0,0,0,0,0.0,63.41
(סוואד (תמירה,צפון,942,0,0,0,0,0,0.0,100.0
מנשית זבדה,צפון,994,0,0,0,0,0,0.0,100.0
גיזו,ירושלים,1043,0,0,0,0,0,0.0,35.33
ללא שיפוט - אזור מצפון לשיבלי אום אל רנם,צפון,9929,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור רומת הייב,צפון,9927,0,0,0,0,0,0.0,100.0
תלמי אליהו,דרום,1051,0,0,0,0,0,0.0,63.41
ללא שיפוט - אזור כפר תבור,צפון,9931,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור מצפה אילות,צפון,9933,0,0,0,0,0,0.0,100.0
ללא שיפוט - אזור בין דבוריה לאכסאל,צפון,9932,0,0,0,0,0,0.0,100.0
נחושה,ירושלים,59,1,0,0,1,1,0.0,35.33
ללא שיפוט - אזור גבעת המורה,צפון,9934,0,0,0,0,0,0.0,100.0
